crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	5.095132	3552	5077482496.000000
281474976710655.000000	5.118782	3553	5078513664.000000
281474976710655.000000	5.124350	3554	5079553536.000000
281474976710655.000000	5.068034	3555	5080586752.000000
281474976710655.000000	5.118557	3556	5081628160.000000
281474976710655.000000	5.220158	3557	5082661376.000000
281474976710655.000000	5.385560	3558	5083701248.000000
281474976710655.000000	5.512296	3559	5084733952.000000
281474976710655.000000	5.626451	3560	5085773312.000000
281474976710655.000000	5.646049	3561	5086804992.000000
281474976710655.000000	5.516013	3562	5087845376.000000
281474976710655.000000	5.539001	3563	5088878592.000000
281474976710655.000000	5.600977	3564	5089918464.000000
281474976710655.000000	5.750617	3565	5090952192.000000
281474976710655.000000	5.914267	3566	5091992064.000000
281474976710655.000000	6.047621	3567	5093023232.000000
281474976710655.000000	6.040139	3568	5094065664.000000
281474976710655.000000	6.033874	3569	5095095296.000000
281474976710655.000000	5.866693	3570	5096138240.000000
281474976710655.000000	5.968573	3571	5097168896.000000
281474976710655.000000	6.079443	3572	5098211840.000000
281474976710655.000000	6.324219	3573	5099242496.000000
281474976710655.000000	6.383545	3574	5100284416.000000
281474976710655.000000	6.470016	3575	5101314560.000000
281474976710655.000000	6.492631	3576	5102356992.000000
281474976710655.000000	6.485517	3577	5103387648.000000
281474976710655.000000	6.451158	3578	5104429056.000000
281474976710655.000000	6.485506	3579	5105460224.000000
281474976710655.000000	6.740898	3580	5106502656.000000
281474976710655.000000	6.816850	3581	5107533312.000000
281474976710655.000000	6.810456	3582	5108574720.000000
281474976710655.000000	6.976027	3583	5109606400.000000
281474976710655.000000	6.985774	3584	5110647296.000000
281474976710655.000000	6.991720	3585	5111679488.000000
281474976710655.000000	6.909310	3586	5112720384.000000
281474976710655.000000	7.131538	3587	5113752576.000000
281474976710655.000000	7.227300	3588	5114793472.000000
281474976710655.000000	7.260797	3589	5115824640.000000
281474976710655.000000	7.405198	3590	5116865536.000000
281474976710655.000000	7.402256	3591	5117897216.000000
281474976710655.000000	7.354059	3592	5118938624.000000
281474976710655.000000	7.399904	3593	5119970304.000000
281474976710655.000000	7.605087	3594	5121010176.000000
281474976710655.000000	7.390429	3595	5122046464.000000
281474976710655.000000	7.841923	3596	5123083264.000000
281474976710655.000000	7.959696	3597	5124115968.000000
281474976710655.000000	7.805056	3598	5125155840.000000
281474976710655.000000	7.831096	3599	5126188544.000000
281474976710655.000000	7.882221	3600	5127228928.000000
281474976710655.000000	8.060910	3601	5128262144.000000
281474976710655.000000	8.147013	3602	5129301504.000000
281474976710655.000000	8.304140	3603	5130334720.000000
281474976710655.000000	8.376966	3604	5131373568.000000
281474976710655.000000	8.384139	3605	5132407296.000000
281474976710655.000000	8.287596	3606	5133446656.000000
281474976710655.000000	8.308886	3607	5134480896.000000
281474976710655.000000	8.355767	3608	5135519232.000000
281474976710655.000000	8.577165	3609	5136553984.000000
281474976710655.000000	8.811757	3610	5137591808.000000
281474976710655.000000	8.977412	3611	5138626048.000000
281474976710655.000000	8.653907	3612	5139664384.000000
281474976710655.000000	8.800581	3613	5140698112.000000
281474976710655.000000	8.806436	3614	5141736960.000000
281474976710655.000000	8.845598	3615	5142771200.000000
281474976710655.000000	9.097501	3616	5143810560.000000
281474976710655.000000	9.225224	3617	5144843776.000000
281474976710655.000000	9.300402	3618	5145882112.000000
281474976710655.000000	9.367476	3619	5146915840.000000
281474976710655.000000	9.341817	3620	5147955200.000000
281474976710655.000000	9.236073	3621	5148988928.000000
281474976710655.000000	9.364857	3622	5150027776.000000
281474976710655.000000	9.453094	3623	5151062016.000000
281474976710655.000000	9.641823	3624	5152101376.000000
281474976710655.000000	9.809607	3625	5153134080.000000
281474976710655.000000	9.772949	3626	5154174464.000000
281474976710655.000000	9.859280	3627	5155206656.000000
281474976710655.000000	9.795284	3628	5156247040.000000
281474976710655.000000	9.859799	3629	5157279232.000000
281474976710655.000000	10.085756	3630	5158319616.000000
281474976710655.000000	10.010963	3631	5159352320.000000
281474976710655.000000	10.286804	3632	5160392192.000000
281474976710655.000000	10.158234	3633	5161424896.000000
281474976710655.000000	10.163493	3634	5162464768.000000
281474976710655.000000	10.249223	3635	5163496960.000000
281474976710655.000000	10.176190	3636	5164535808.000000
281474976710655.000000	10.229338	3637	5165570048.000000
281474976710655.000000	10.245988	3638	5166609920.000000
281474976710655.000000	10.645920	3639	5167643648.000000
281474976710655.000000	10.739155	3640	5168682496.000000
281474976710655.000000	10.503777	3641	5169715200.000000
281474976710655.000000	10.649861	3642	5170755072.000000
281474976710655.000000	10.765345	3643	5171787776.000000
281474976710655.000000	10.796162	3644	5172827648.000000
281474976710655.000000	10.817204	3645	5173860864.000000
281474976710655.000000	10.699402	3646	5174900736.000000
281474976710655.000000	11.078815	3647	5175932928.000000
281474976710655.000000	11.068193	3648	5176972800.000000
281474976710655.000000	11.194654	3649	5178006016.000000
281474976710655.000000	11.128026	3650	5179045376.000000
281474976710655.000000	11.115840	3651	5180078592.000000
281474976710655.000000	11.222270	3652	5181117440.000000
281474976710655.000000	11.464277	3653	5182151168.000000
281474976710655.000000	11.460814	3654	5183190528.000000
281474976710655.000000	11.510160	3655	5184223744.000000
281474976710655.000000	11.374246	3656	5185262592.000000
281474976710655.000000	11.585033	3657	5186296320.000000
281474976710655.000000	11.592311	3658	5187335168.000000
281474976710655.000000	11.695604	3659	5188368896.000000
281474976710655.000000	11.675749	3660	5189406720.000000
281474976710655.000000	11.499163	3661	5190443520.000000
281474976710655.000000	11.831474	3662	5191479296.000000
281474976710655.000000	11.690890	3663	5192515072.000000
281474976710655.000000	12.162971	3664	5193551872.000000
281474976710655.000000	11.819522	3665	5194587136.000000
281474976710655.000000	12.015491	3666	5195624960.000000
281474976710655.000000	12.247331	3667	5196660224.000000
281474976710655.000000	12.204397	3668	5197697536.000000
281474976710655.000000	12.141407	3669	5198732800.000000
281474976710655.000000	12.562769	3670	5199770112.000000
281474976710655.000000	12.267814	3671	5200804864.000000
281474976710655.000000	12.448519	3672	5201842688.000000
281474976710655.000000	12.338285	3673	5202877952.000000
281474976710655.000000	12.581315	3674	5203915264.000000
281474976710655.000000	12.853738	3675	5204949504.000000
281474976710655.000000	13.235602	3676	5205987840.000000
281474976710655.000000	12.649829	3677	5207022592.000000
281474976710655.000000	13.087882	3678	5208060416.000000
281474976710655.000000	12.565812	3679	5209094656.000000
281474976710655.000000	12.790096	3680	5210133504.000000
281474976710655.000000	12.998286	3681	5211167232.000000
