num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2855	4334.243273	48.066992	-1.835124	4.678421	6.807333
2857	4336.316424	48.693713	-1.726535	4.677920	6.585988
2859	4338.389095	51.190743	-1.310614	4.670754	6.804408
2861	4340.462816	51.029314	-1.024652	4.686001	6.755963
2863	4342.533984	52.162166	-1.193372	4.672112	7.262002
2865	4344.607096	51.505244	-0.849559	4.654736	7.414887
2867	4346.681097	52.564371	-0.784962	4.670621	6.724311
2869	4348.752958	52.162233	-0.661565	4.685024	7.474534
2871	4350.825680	56.465086	-0.660294	4.642127	7.694481
2873	4352.898859	49.069098	-0.647572	4.712627	7.821946
2875	4354.970446	54.634701	-0.619668	4.674419	7.889518
2877	4357.043927	54.565570	-0.324773	4.672766	7.676302
2879	4359.116666	54.830729	-0.260234	4.673720	7.547783
2881	4361.189572	54.740831	-0.189468	4.683256	8.106600
2883	4363.263082	56.032618	-0.238618	4.675428	7.826707
2885	4365.334657	50.762304	-3.111829	4.718668	8.530768
2887	4367.409042	56.746651	-0.045347	4.674893	8.300263
2889	4369.481165	51.184133	2.948260	4.699571	8.419800
2891	4371.554133	60.810652	0.436754	4.654891	8.187212
2893	4373.626574	57.534301	0.317980	4.673465	8.357143
2895	4375.699259	57.926004	0.393494	4.673679	9.084719
2897	4377.771787	54.643953	-0.196655	4.692482	8.817720
2899	4379.844427	58.890613	0.313379	4.676654	9.347018
2901	4381.917119	58.045620	1.142810	4.669770	9.090649
2903	4383.989586	58.364178	-0.499477	4.698656	9.273829
2905	4386.062956	60.031706	0.590453	4.675362	9.466867
2907	4388.135475	59.945619	0.862567	4.673762	9.721801
2909	4390.208223	60.494856	0.871597	4.683826	9.676725
2911	4392.282193	61.105725	0.761517	4.676698	9.581653
2913	4394.354271	60.838631	1.045824	4.683546	9.872446
2915	4396.426971	59.520611	0.660780	4.680686	10.928086
2917	4398.500045	66.015867	5.464930	4.682158	9.695552
2919	4400.572660	62.374524	1.090820	4.676177	9.959251
2921	4402.645068	64.722954	-2.106907	4.693469	10.306378
2923	4404.717498	60.811586	0.949677	4.679583	9.996033
2925	4406.789963	60.926375	1.019075	4.678403	10.281360
2927	4408.862546	63.700349	1.422368	4.676453	10.369135
2929	4410.934646	62.978787	1.601482	4.681311	10.659377
2931	4413.007136	64.145386	1.639369	4.677174	10.673407
2933	4415.079487	60.687358	0.929519	4.689521	10.758187
2935	4417.152027	62.404214	1.498785	4.679974	10.573144
2937	4419.224752	68.186365	5.339348	4.686626	10.750533
2939	4421.296769	64.919685	1.943046	4.677218	10.729261
2941	4423.369685	64.989644	2.035317	4.678196	10.865023
2943	4425.442583	69.615529	5.392822	4.688447	11.022098
2945	4427.515310	65.887489	2.130230	4.676505	11.155596
2947	4429.587481	65.547863	2.320939	4.675314	10.963083
2949	4431.660136	64.824347	3.169120	4.676695	11.206061
2951	4433.732695	66.042922	2.468890	4.674708	11.426658
2953	4435.805034	62.399153	6.216732	4.672520	11.228692
2955	4437.877755	70.591670	5.635905	4.687734	11.477631
2957	4439.950011	73.341804	3.325341	4.663964	11.907531
2959	4442.022573	66.886799	2.677566	4.677592	11.373731
2961	4444.095162	71.113750	5.758127	4.680403	11.743890
2963	4446.168090	70.753286	5.617090	4.683172	11.931159
2965	4448.240454	68.346048	2.824187	4.676946	12.064417
2967	4450.313200	68.130424	2.994927	4.674989	12.182685
2969	4452.386085	65.874538	-1.133661	4.680074	11.836890
2971	4454.458212	73.574435	4.022512	4.667749	12.087388
2973	4456.530885	68.883721	3.210399	4.675700	11.788908
2975	4458.603779	69.080169	3.350203	4.674901	12.181531
2977	4460.675780	69.412889	3.320226	4.680009	12.267072
2979	4462.747892	72.843786	6.069078	4.685446	12.125706
2981	4464.820022	75.004872	4.491498	4.672641	12.254819
