time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
2418.284299	57.741638	0.022780	2.534730	108
2419.324842	51.886967	0.022742	2.281516	109
2420.365608	51.385410	0.022744	2.259344	110
2421.395983	54.767735	0.022784	2.403825	111
2422.437190	51.344219	0.022762	2.255665	112
2423.474416	52.928841	0.022742	2.327359	113
2424.512236	54.828831	0.022740	2.411109	114
2425.541463	51.818329	0.022754	2.277365	115
2426.596666	49.769150	0.022755	2.187207	116
2427.613293	57.844856	0.022758	2.541750	117
2428.670207	50.536549	0.022777	2.218791	118
2429.683347	52.668911	0.022751	2.315055	119
2430.745413	47.049042	0.022762	2.067019	120
2431.758975	49.203346	0.022756	2.162252	121
2432.825549	48.678761	0.022723	2.142310	122
2433.830066	54.212845	0.022753	2.382665	123
2434.895955	51.159786	0.022773	2.246556	124
2435.905233	54.485104	0.022752	2.394708	125
2436.973838	44.541203	0.022784	1.954928	126
2437.977538	50.947601	0.022733	2.241083	127
2439.045830	48.409184	0.022784	2.124666	128
2440.053605	51.696743	0.022786	2.268805	129
2441.117307	49.008934	0.022753	2.153966	130
2442.124276	52.808331	0.022746	2.321608	131
2443.193964	46.600716	0.022786	2.045123	132
2444.199514	52.756634	0.022759	2.318040	133
2445.266799	44.676811	0.022774	1.961788	134
2446.275226	47.732201	0.022765	2.096717	135
2447.339370	48.715561	0.022762	2.140262	136
2448.345980	53.062714	0.022741	2.333390	137
2449.414618	45.068436	0.022755	1.980574	138
2450.421578	45.209499	0.022746	1.987563	139
2451.488664	42.999802	0.022749	1.890161	140
2452.498528	47.286770	0.022779	2.075907	141
2453.580824	39.043720	0.022780	1.713938	142
2454.572403	49.443436	0.022754	2.172976	143
2455.630229	45.152733	0.022771	1.982891	144
2456.647101	50.221928	0.022774	2.205196	145
2457.699893	42.472073	0.022757	1.866326	146
2458.725982	46.054665	0.022753	2.024155	147
2459.771418	44.803009	0.022781	1.966683	148
2460.898104	1.399137	0.022782	0.061413	149
2461.844777	41.008369	0.022776	1.800488	150
2462.873883	47.479000	0.022744	2.087509	151
2463.913538	44.225349	0.022781	1.941302	152
2464.949112	46.501793	0.022783	2.041049	153
2465.988119	43.870617	0.022732	1.929920	154
2467.023343	40.756752	0.022813	1.786571	155
2468.060565	41.411331	0.022756	1.819793	156
2469.097054	44.346031	0.022764	1.948115	157
2470.135875	41.766510	0.022748	1.836038	158
2471.169815	44.328907	0.022762	1.947491	159
2472.206486	42.121815	0.022701	1.855476	160
2473.242753	44.851543	0.022770	1.969788	161
2474.281954	40.998402	0.022770	1.800531	162
2475.314940	43.077980	0.022763	1.892479	163
2476.355312	40.561016	0.022792	1.779633	164
2477.385294	44.868397	0.022761	1.971298	165
2478.429834	40.008244	0.022757	1.758036	166
2479.455514	43.830971	0.022781	1.924009	167
2480.507937	39.298401	0.022786	1.724680	168
2481.526254	44.556507	0.022755	1.958057	169
2482.584435	38.038857	0.022758	1.671441	170
2483.596011	45.369297	0.022772	1.992301	171
2484.658334	37.828682	0.022751	1.662690	172
2485.668928	43.229992	0.022726	1.902194	173
2486.733488	37.787220	0.022792	1.657934	174
2487.741110	43.181332	0.022793	1.894460	175
2488.806144	38.049377	0.022753	1.672270	176
2489.812114	44.147758	0.022761	1.939641	177
2490.880638	35.857491	0.022751	1.576063	178
2491.887236	42.040318	0.022777	1.845743	179
2492.951896	37.493797	0.022783	1.645666	180
2493.962239	40.458744	0.022750	1.778409	181
2495.024120	37.936329	0.022782	1.665198	182
2496.032113	42.191265	0.022781	1.852060	183
2497.097708	36.816219	0.022757	1.617815	184
2498.106161	41.456314	0.022783	1.819627	185
2499.171800	35.285316	0.022761	1.550228	186
2500.179997	157.834198	0.022744	6.939579	187
2501.242734	36.291893	0.022763	1.594345	188
2502.254144	40.021385	0.022752	1.758992	189
2503.316037	32.072536	0.022727	1.411184	190
2504.325860	40.565456	0.022747	1.783341	191
2505.388813	33.954853	0.022767	1.491427	192
2506.399747	39.505486	0.022759	1.735816	193
2507.459708	33.862206	0.022752	1.488348	194
2508.476757	39.384621	0.022774	1.729394	195
2509.528841	34.592480	0.022792	1.517738	196
2510.550119	39.855022	0.022777	1.749804	197
2511.599610	33.889843	0.022757	1.489230	198
2512.624885	39.955872	0.022749	1.756365	199
2513.669440	34.574127	0.022757	1.519285	200
2514.702209	37.866821	0.022728	1.666107	201
2515.741976	33.601254	0.022770	1.475707	202
2516.773957	38.745567	0.022787	1.700323	203
2517.813029	33.092075	0.022755	1.454271	204
2518.847229	37.924103	0.022730	1.668492	205
2519.885317	34.065746	0.022755	1.497091	206
2520.919795	37.520428	0.022762	1.648389	207
2521.959449	32.408730	0.022754	1.424326	208
2522.993625	36.815350	0.022762	1.617404	209
2524.031630	32.770508	0.022729	1.441781	210
2525.064381	36.847084	0.022762	1.618816	211
2526.104354	32.618916	0.022769	1.432601	212
2527.134465	38.376011	0.022749	1.686911	213
2528.178298	31.527340	0.022728	1.387185	214
2529.208137	36.210705	0.022752	1.591545	215
2530.255341	30.978453	0.022756	1.361320	216
2531.278657	36.441341	0.022748	1.601934	217
2532.330472	30.285591	0.022720	1.332972	218
2533.347961	37.011066	0.022710	1.629758	219
2534.403605	31.157122	0.022761	1.368887	220
2535.419494	34.196350	0.022759	1.502564	221
2536.476999	31.078365	0.022751	1.366033	222
2537.489325	36.474560	0.022748	1.603407	223
2538.554343	29.334242	0.022768	1.288409	224
2539.562750	35.355972	0.022754	1.553868	225
2540.626522	29.952032	0.022781	1.314772	226
2541.635750	34.127758	0.022760	1.499471	227
2542.698356	31.004705	0.022752	1.362748	228
2543.706738	34.957489	0.022727	1.538133	229
2544.771051	29.831751	0.022743	1.311700	230
2545.779191	34.574837	0.022743	1.520219	231
2546.844018	30.044243	0.022777	1.319050	232
2547.852887	33.626423	0.022779	1.476210	233
2548.916424	29.616835	0.022719	1.303620	234
2549.924676	32.573483	0.022778	1.430072	235
2550.988847	29.915129	0.022782	1.313119	236
2551.998439	33.451588	0.022750	1.470417	237
2553.061296	30.013577	0.022791	1.316920	238
2554.070607	33.712784	0.022753	1.481653	239
2555.134328	28.473942	0.022765	1.250754	240
2556.143718	33.982529	0.022782	1.491655	241
2557.206444	28.416084	0.022756	1.248739	242
2558.219136	33.493069	0.022749	1.472308	243
